n,rep,elapsed_s,stage,fn_name
5000,1,4.4172420000001,1-import,read_excel_file_sheets
5000,2,4.56215780000014,1-import,read_excel_file_sheets
5000,3,4.50111520000007,1-import,read_excel_file_sheets
5000,4,3.27664260000006,1-import,read_excel_file_sheets
5000,5,4.16269860000011,1-import,read_excel_file_sheets
5000,6,3.92101750000006,1-import,read_excel_file_sheets
5000,7,4.51057890000004,1-import,read_excel_file_sheets
10000,1,4.76146760000006,1-import,read_excel_file_sheets
10000,2,5.36210489999996,1-import,read_excel_file_sheets
10000,3,5.0801113,1-import,read_excel_file_sheets
10000,4,4.65809320000005,1-import,read_excel_file_sheets
10000,5,4.99884350000002,1-import,read_excel_file_sheets
10000,6,4.71863660000008,1-import,read_excel_file_sheets
10000,7,4.74135060000003,1-import,read_excel_file_sheets
25000,1,4.87172889999999,1-import,read_excel_file_sheets
25000,2,5.21703500000001,1-import,read_excel_file_sheets
25000,3,4.89671229999999,1-import,read_excel_file_sheets
25000,4,5.69062860000008,1-import,read_excel_file_sheets
25000,5,5.61354480000011,1-import,read_excel_file_sheets
25000,6,4.1129651,1-import,read_excel_file_sheets
25000,7,4.11411960000009,1-import,read_excel_file_sheets
50000,1,4.30883840000001,1-import,read_excel_file_sheets
50000,2,4.07886260000009,1-import,read_excel_file_sheets
50000,3,3.92104330000007,1-import,read_excel_file_sheets
50000,4,3.89691479999999,1-import,read_excel_file_sheets
50000,5,3.81013800000005,1-import,read_excel_file_sheets
50000,6,3.74844359999986,1-import,read_excel_file_sheets
50000,7,3.8139971999999,1-import,read_excel_file_sheets
100000,1,3.77074440000001,1-import,read_excel_file_sheets
100000,2,3.44193700000005,1-import,read_excel_file_sheets
100000,3,3.54196930000001,1-import,read_excel_file_sheets
100000,4,2.8687460000001,1-import,read_excel_file_sheets
100000,5,2.50035309999998,1-import,read_excel_file_sheets
100000,6,2.5717611,1-import,read_excel_file_sheets
100000,7,2.65020580000009,1-import,read_excel_file_sheets
5000,1,0.0322100000000773,2-post_processing,apply_standardize_rules
5000,2,0.0114511000000448,2-post_processing,apply_standardize_rules
5000,3,0.00634049999996478,2-post_processing,apply_standardize_rules
5000,4,0.00653330000000096,2-post_processing,apply_standardize_rules
5000,5,0.00740320000011252,2-post_processing,apply_standardize_rules
5000,6,0.00819190000004255,2-post_processing,apply_standardize_rules
5000,7,0.00591589999999087,2-post_processing,apply_standardize_rules
10000,1,0.00657810000006975,2-post_processing,apply_standardize_rules
10000,2,0.00681079999992562,2-post_processing,apply_standardize_rules
10000,3,0.00791580000009162,2-post_processing,apply_standardize_rules
10000,4,0.00965470000005553,2-post_processing,apply_standardize_rules
10000,5,0.00726559999998244,2-post_processing,apply_standardize_rules
10000,6,0.00766250000003765,2-post_processing,apply_standardize_rules
10000,7,0.00791290000006484,2-post_processing,apply_standardize_rules
25000,1,0.0119838000000527,2-post_processing,apply_standardize_rules
25000,2,0.0104860999999801,2-post_processing,apply_standardize_rules
25000,3,0.011724200000117,2-post_processing,apply_standardize_rules
25000,4,0.016358200000127,2-post_processing,apply_standardize_rules
25000,5,0.0108267000000524,2-post_processing,apply_standardize_rules
25000,6,0.0107682000000295,2-post_processing,apply_standardize_rules
25000,7,0.0113217000000532,2-post_processing,apply_standardize_rules
50000,1,0.0170343999999432,2-post_processing,apply_standardize_rules
50000,2,0.0242905000000064,2-post_processing,apply_standardize_rules
50000,3,0.017635700000028,2-post_processing,apply_standardize_rules
50000,4,0.0209649000000809,2-post_processing,apply_standardize_rules
50000,5,0.0341050000000678,2-post_processing,apply_standardize_rules
50000,6,0.0184132000000545,2-post_processing,apply_standardize_rules
50000,7,0.022002900000075,2-post_processing,apply_standardize_rules
100000,1,0.0494717999999921,2-post_processing,apply_standardize_rules
100000,2,0.0567135000000008,2-post_processing,apply_standardize_rules
100000,3,0.056532500000003,2-post_processing,apply_standardize_rules
100000,4,0.13237150000009,2-post_processing,apply_standardize_rules
100000,5,0.0495889000000034,2-post_processing,apply_standardize_rules
100000,6,0.0459359000000177,2-post_processing,apply_standardize_rules
100000,7,0.0457879000000503,2-post_processing,apply_standardize_rules
5000,1,0.0363700999999992,2-post_processing,aggregate_standardized_rows
5000,2,0.0218290999999908,2-post_processing,aggregate_standardized_rows
5000,3,0.0142785000000458,2-post_processing,aggregate_standardized_rows
5000,4,0.0161580999999842,2-post_processing,aggregate_standardized_rows
5000,5,0.0152298000000428,2-post_processing,aggregate_standardized_rows
5000,6,0.0153493000000253,2-post_processing,aggregate_standardized_rows
5000,7,0.0145347000000129,2-post_processing,aggregate_standardized_rows
10000,1,0.0192994000000226,2-post_processing,aggregate_standardized_rows
10000,2,0.0196878000000424,2-post_processing,aggregate_standardized_rows
10000,3,0.0236322000000655,2-post_processing,aggregate_standardized_rows
10000,4,0.0232137000000421,2-post_processing,aggregate_standardized_rows
10000,5,0.0182795000000624,2-post_processing,aggregate_standardized_rows
10000,6,0.0186979000000065,2-post_processing,aggregate_standardized_rows
10000,7,0.0212659999999687,2-post_processing,aggregate_standardized_rows
25000,1,0.0322944000000689,2-post_processing,aggregate_standardized_rows
25000,2,0.0348973000001251,2-post_processing,aggregate_standardized_rows
25000,3,0.0346337999999378,2-post_processing,aggregate_standardized_rows
25000,4,0.0437650000000076,2-post_processing,aggregate_standardized_rows
25000,5,0.0305610999999999,2-post_processing,aggregate_standardized_rows
25000,6,0.03043480000008,2-post_processing,aggregate_standardized_rows
25000,7,0.0455733999999666,2-post_processing,aggregate_standardized_rows
50000,1,0.0557743000000528,2-post_processing,aggregate_standardized_rows
50000,2,0.0691663000000062,2-post_processing,aggregate_standardized_rows
50000,3,0.0888601000000335,2-post_processing,aggregate_standardized_rows
50000,4,0.148416900000029,2-post_processing,aggregate_standardized_rows
50000,5,0.0553058000000419,2-post_processing,aggregate_standardized_rows
50000,6,0.0566828000000896,2-post_processing,aggregate_standardized_rows
50000,7,0.0649073000000726,2-post_processing,aggregate_standardized_rows
100000,1,0.0887774000000263,2-post_processing,aggregate_standardized_rows
100000,2,0.185343200000034,2-post_processing,aggregate_standardized_rows
100000,3,0.101765999999998,2-post_processing,aggregate_standardized_rows
100000,4,0.0875134000000344,2-post_processing,aggregate_standardized_rows
100000,5,0.092326000000071,2-post_processing,aggregate_standardized_rows
100000,6,0.084998300000052,2-post_processing,aggregate_standardized_rows
100000,7,0.104931899999997,2-post_processing,aggregate_standardized_rows
5000,1,0.0164293000000271,2-post_processing,extract_aggregated_rows
5000,2,0.00779640000007476,2-post_processing,extract_aggregated_rows
5000,3,0.00770520000003216,2-post_processing,extract_aggregated_rows
5000,4,0.00826060000008511,2-post_processing,extract_aggregated_rows
5000,5,0.00897310000004836,2-post_processing,extract_aggregated_rows
5000,6,0.00871600000004946,2-post_processing,extract_aggregated_rows
5000,7,0.00859800000000632,2-post_processing,extract_aggregated_rows
10000,1,0.0113479999999981,2-post_processing,extract_aggregated_rows
10000,2,0.0100922999999966,2-post_processing,extract_aggregated_rows
10000,3,0.0104729000000816,2-post_processing,extract_aggregated_rows
10000,4,0.0100320000000238,2-post_processing,extract_aggregated_rows
10000,5,0.00998540000000503,2-post_processing,extract_aggregated_rows
10000,6,0.00960969999994177,2-post_processing,extract_aggregated_rows
10000,7,0.0106868000000304,2-post_processing,extract_aggregated_rows
25000,1,0.0156147999999803,2-post_processing,extract_aggregated_rows
25000,2,0.0148726000001034,2-post_processing,extract_aggregated_rows
25000,3,0.0170465999999578,2-post_processing,extract_aggregated_rows
25000,4,0.0164815000000544,2-post_processing,extract_aggregated_rows
25000,5,0.0203414000001203,2-post_processing,extract_aggregated_rows
25000,6,0.0150398000000678,2-post_processing,extract_aggregated_rows
25000,7,0.015713900000037,2-post_processing,extract_aggregated_rows
50000,1,0.0278780999999526,2-post_processing,extract_aggregated_rows
50000,2,0.0252636000000166,2-post_processing,extract_aggregated_rows
50000,3,0.0362281999999823,2-post_processing,extract_aggregated_rows
50000,4,0.0263902000000371,2-post_processing,extract_aggregated_rows
50000,5,0.027249500000039,2-post_processing,extract_aggregated_rows
50000,6,0.0324946000000637,2-post_processing,extract_aggregated_rows
50000,7,0.0250492999999779,2-post_processing,extract_aggregated_rows
100000,1,0.0326968000000534,2-post_processing,extract_aggregated_rows
100000,2,0.0299946000000091,2-post_processing,extract_aggregated_rows
100000,3,0.0326866000000337,2-post_processing,extract_aggregated_rows
100000,4,0.034925899999962,2-post_processing,extract_aggregated_rows
100000,5,0.0269702000000507,2-post_processing,extract_aggregated_rows
100000,6,0.0314447999999175,2-post_processing,extract_aggregated_rows
100000,7,0.0355807000000823,2-post_processing,extract_aggregated_rows
